(0, 0.15, 0.0, 0.0, 0.01, 0.5, 77.8, 100)
(1, 0.15, 2.0, 0.001, 0.01, 0.5, 77.8, 100)
(2, 0.15, 4.0, 0.002, 0.01, 0.5, 77.8, 100)
(3, 0.15, 6.0, 0.003, 0.01, 0.5, 77.8, 100)
(4, 0.15, 8.0, 0.004, 0.01, 0.5, 77.8, 100)
(5, 0.15, 10.0, 0.005, 0.01, 0.5, 77.8, 100)
(6, 0.15, 12.0, 0.006, 0.01, 0.5, 77.8, 100)
(7, 0.15, 14.0, 0.007, 0.01, 0.5, 77.8, 100)
(8, 0.15, 16.0, 0.008, 0.01, 0.5, 77.8, 100)
(9, 0.15, 18.0, 0.009, 0.01, 0.5, 77.8, 100)
(10, 0.15, 20.0, 0.01, 0.01, 0.5, 77.8, 100)
(11, 0.15, 22.0, 0.011, 0.01, 0.5, 77.8, 100)
(12, 0.15, 24.0, 0.012, 0.01, 0.5, 77.8, 100)
(13, 0.15, 26.0, 0.013, 0.01, 0.5, 77.8, 100)
(14, 0.15, 28.0, 0.014, 0.01, 0.5, 77.8, 100)
(15, 0.15, 30.0, 0.015, 0.01, 0.5, 77.8, 100)
(16, 0.15, 32.0, 0.016, 0.01, 0.5, 77.8, 100)
(17, 0.15, 34.0, 0.017, 0.01, 0.5, 77.8, 100)
(18, 0.15, 36.0, 0.018, 0.01, 0.5, 77.8, 100)
(19, 0.15, 38.0, 0.019, 0.01, 0.5, 77.8, 100)
